Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,AGFO,Agate Fossil Beds National Monument,Mammal,1,,,748752,-9792845,Active,Pitymys ochrogaster haydeni,,,Undecided,No,In Review,,,,,,,,,,,,,,,,,
,AGFO,Agate Fossil Beds National Monument,Mammal,1,,,748740,-9792833,Inactive,Spermophilus tridecemlineatus pallidus,,,Undecided,No,In Review,,,,,,,,,,,,,,,,,
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,,,50,,,G5,NE: S4S5
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Artiodactyla,Bovidae,107797,203618,Active,Bos bison,"American bison, bison",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,,,,,,,
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,"bighorn sheep, Bighorn Sheep",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,,,SC,,,G4,NE: S2
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,3,,,50,,,G5,NE: S5
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,WHITETAIL DEER,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,4,11,,,50,,,G5,NE: S5
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,1,,,SC,,,G5,NE: S5
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Carnivora,Canidae,155084,-501876,Active,Vulpes fulva,Red Fox,,Undecided,No,In Review,Present,,,,,,,,1,,,,,,,,
,AGFO,Agate Fossil Beds National Monument,Mammal,1,Carnivora,Canidae,93350,180607,Active,Vulpes velox,swift fox,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,2,,,RT,NE: E,,G3,NE: S2
