Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,References,Observations,Vouchers,T&E,State Status,GRank,SRank
REDW,Redwood National Park,Mammal,1,Artiodactyla,Cervidae,155887,-501605.0,Active,Cervus elaphus roosevelti,Roosevelt Elk,"Cervus canadensis, Cervus elaphus, Cervus canadensis roosevelti",Accepted,No,Approved,Present,Native,Abundant,"Exploitation Concern, Management Priority; Breeder",127.0,,8.0,,,G5T4,CA: SNR
REDW,Redwood National Park,Mammal,1,Artiodactyla,Cervidae,152567,-501743.0,Inactive,Odocoileus hemionus columbianus,Black-Tailed Deer,"Odocoileus hemionus, Dama hemionus",Accepted,No,Approved,Present,Native,Common,Exploitation Concern; Breeder,58.0,,1.0,,,G5TNR,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Canidae,93340,180599.0,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,Native,Uncommon,Exploitation Concern; Breeder,48.0,,,SC,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Canidae,93352,180609.0,Active,Urocyon cinereoargenteus,Gray Fox,,Accepted,No,Approved,Present,Native,Common,Breeder,48.0,,2.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Canidae,93347,180604.0,Active,Vulpes vulpes,Red Fox,,Accepted,No,Approved,Present,Non-native,Uncommon,Resident,3.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Felidae,93322,180582.0,Active,Lynx rufus,Bobcat,Felis rufus,Accepted,No,Approved,Present,Native,Common,Exploitation Concern; Breeder,53.0,,2.0,RT,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Felidae,260571,552479.0,Active,Puma concolor,cougar,"Felis concolor, Felis concolor californica",Accepted,No,Approved,Present,Native,Uncommon,"Exploitation Concern, Management Priority; Breeder",62.0,,1.0,,CA: SC,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Mephitidae,93300,180562.0,Active,Mephitis mephitis,Striped Skunk,,Accepted,No,Approved,Present,Native,Common,Breeder,31.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Mephitidae,264255,552466.0,Active,Spilogale gracilis,Spotted Skunk,"Spilogale putorius phenax, Spilogale putorius",Accepted,No,Approved,Present,Native,Uncommon,Resident,20.0,,2.0,50,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,629198,727128.0,Active,Martes pennanti pacifica,,Martes pennanti,Accepted,No,Approved,Present,Native,Uncommon,Management Priority; Breeder,65.0,,,,,,
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,93292,180555.0,Active,Mustela erminea,Ermine,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,17.0,,,,,GNR,
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,93293,180556.0,Active,Mustela frenata,Longtail Weasel,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,26.0,,2.0,,,,
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,93290,180553.0,Active,Mustela vison,Mink,,Accepted,No,Approved,Present,Native,Uncommon,Resident,26.0,,,,,,
REDW,Redwood National Park,Mammal,1,Carnivora,Otariidae,93372,180627.0,Active,Callorhinus ursinus,Northern Fur Seal,,Accepted,No,Approved,Probably Present,Native,,,7.0,,,,,G3,CA: S1
REDW,Redwood National Park,Mammal,1,Carnivora,Otariidae,93370,180625.0,Active,Eumetopias jubatus,Northern Sea Lion (Stellar),,Accepted,No,Approved,Present,Native,Common,Breeder,41.0,,,DM,,G3,CA: S2
REDW,Redwood National Park,Mammal,1,Carnivora,Otariidae,93366,180621.0,Active,Zalophus californianus,California Sea Lion,,Accepted,No,Approved,Present,Native,Common,Resident,30.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Phocidae,95017,180672.0,Active,Mirounga angustirostris,Elephant Seal,,Accepted,No,Approved,Present,Native,Uncommon,Migratory,12.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Phocidae,93396,180649.0,Active,Phoca vitulina,Harbor Seal,,Accepted,No,Approved,Present,Native,Common,Breeder,37.0,,2.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Procyonidae,93316,180577.0,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,Native,Uncommon,,16.0,,,SC,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Procyonidae,93314,180575.0,Active,Procyon lotor,Raccoon,,Accepted,No,Approved,Present,Native,Common,Breeder,42.0,,1.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Carnivora,Ursidae,93280,180544.0,Active,Ursus americanus,Black Bear,"Euarctos americanus, Ursus americanus altifrontalis",Accepted,No,Approved,Present,Native,Common,"Exploitation Concern, Management Priority; Breeder",85.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenidae,92615,180538.0,Active,Balaena glacialis,"black right whale, black whale, right whale","Balaena robusta, Eubalaena sieboldii",Accepted,No,Approved,Present,Native,Occasional,Migratory,11.0,,,,,,
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92600,180524.0,Active,Balaenoptera acutorostrata,Minke Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,5.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92602,180526.0,Active,Balaenoptera borealis,Sei Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,8.0,,,E,,G5?,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92604,180528.0,Active,Balaenoptera musculus,Blue Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,6.0,,,E,,G3G4,CA: SNR
